key: clay_organic_2pct
EffectiveStress	ln(su_5)	Su_5	ln(su_mean)	sigma(ln(su))
1	1.41	4.095955404	1.61	0.13
5	1.91	6.753088799	2.07	0.1
10	2.21	9.115716393	2.34	0.09
15	2.42	11.24585931	2.54	0.08
20	2.59	13.3297716	2.7	0.07
30	2.85	17.28778184	2.96	0.06
50	3.23	25.27965697	3.323	0.06
100	3.8	44.70118449	3.88	0.05
200	4.43	83.93141691	4.5	0.05
300	4.8	121.5104175	4.88	0.05

key: clay_2pct
EffectiveStress	ln(su_5)	Su_5	ln(su_mean)	sigma(ln(su))
1	1.23	3.421229536	1.44	0.13
5	1.74	5.697343423	1.89	0.1
10	2.04	7.690609199	2.17	0.08
15	2.26	9.583089167	2.37	0.07
20	2.43	11.35888208	2.53	0.07
30	2.69	14.73167592	2.79	0.06
50	3.07	21.54190268	3.15	0.05
100	3.64	38.09183673	3.71	0.04
200	4.27	71.52163562	4.33	0.04
300	4.65	104.5849856	4.71	0.04

key: clay_silty_2pct
EffectiveStress	ln(su_5)	Su_5	ln(su_mean)	sigma(ln(su))
1	1.2	3.320116923	1.39	0.12
5	1.7	5.473947392	1.85	0.09
10	2.01	7.463317347	2.13	0.08
15	2.22	9.207330866	2.33	0.07
20	2.39	10.91349394	2.49	0.06
30	2.66	14.2962891	2.75	0.05
50	3.04	20.90524324	3.11	0.05
100	3.91	49.89895197	3.67	0.04
200	4.23	68.71723217	4.29	0.04
300	4.73	113.2955623	4.67	0.03

key: sand_davis
EffectiveStress	ln(tau_5)	Tau_5	ln(tau_mean)	sigma(ln(tau))
1	-0.638106752	0.528291665	-0.555864071	0.05
5	0.97133116	2.641458324	1.053573842	0.05
10	1.664478341	5.282916649	1.746721022	0.05
15	2.069943449	7.924374973	2.15218613	0.05
20	2.357625521	10.5658333	2.439868203	0.05
30	2.763090629	15.84874995	2.845333311	0.05
50	3.273916253	26.41458324	3.356158935	0.05
100	3.967063434	52.82916649	4.049306115	0.05
200	4.660210614	105.658333	4.742453296	0.05
300	5.065675722	158.4874995	5.147918404	0.05

key: sand_davis_incl_int_princ
EffectiveStress	ln(tau_5)	Tau_5	ln(tau_mean)	sigma(ln(tau))
1	-0.579837844	0.559989165	-0.497595163	0.05
5	1.029600068	2.799945824	1.11184275	0.05
10	1.722747249	5.599891648	1.80498993	0.05
15	2.128212357	8.399837472	2.210455038	0.05
20	2.41589443	11.1997833	2.498137111	0.05
30	2.821359538	16.79967494	2.903602219	0.05
50	3.332185161	27.99945824	3.414427843	0.05
100	4.025332342	55.99891648	4.107575023	0.05
200	4.718479523	111.997833	4.800722204	0.05
300	5.123944631	167.9967494	5.206187312	0.05

key: sand_tanphi
EffectiveStress	ln(tau_5)	Tau_5	ln(tau_mean)	sigma(ln(tau))
1	-0.438621186	0.64492504	-0.356378505	0.05
5	1.170816726	3.2246252	1.253059408	0.05
10	1.863963907	6.449250399	1.946206588	0.05
15	2.269429015	9.673875599	2.351671696	0.05
20	2.557111087	12.8985008	2.639353769	0.05
30	2.962576196	19.3477512	3.044818877	0.05
50	3.473401819	32.246252	3.555644501	0.05
100	4.166549	64.49250399	4.248791681	0.05
200	4.85969618	128.985008	4.941938862	0.05
300	5.265161289	193.477512	5.34740397	0.05

key: sand_tanphi_incl_int_princ
EffectiveStress	ln(tau_5)	Tau_5	ln(tau_mean)	sigma(ln(tau))
1	-0.380352278	0.683620542	-0.298109597	0.05
5	1.229085634	3.418102712	1.311328316	0.05
10	1.922232815	6.836205423	2.004475496	0.05
15	2.327697923	10.25430814	2.409940605	0.05
20	2.615379996	13.67241085	2.697622677	0.05
30	3.020845104	20.50861627	3.103087785	0.05
50	3.531670727	34.18102712	3.613913409	0.05
100	4.224817908	68.36205423	4.307060589	0.05
200	4.917965089	136.7241085	5.00020777	0.05
300	5.323430197	205.0861627	5.405672878	0.05

key: eemdijk
sigma_v_eff_mean_kpa	Tau_davis_nonasso	Tau_tanphi_asso	Tau_davis_nonasso_int_princ	Tau_tanphi_asso_int_princ
0	0	0	0	0
3.74342025	2.111856089	3.049756012	2.238567454	3.232741373
9.923767494	5.67469141	8.572459395	6.015172895	9.086806959
20.01548859	11.49060469	17.5983021	12.18004097	18.65420023
30.05903891	17.05174448	25.19939267	18.07484915	26.71135623
40.04965522	22.50106851	32.37658	23.85113262	34.3191748
50.00518233	28.22596091	41.05130219	29.91951856	43.51438032
59.99247592	33.89220565	49.24842906	35.92573799	52.2033348
69.97036815	38.9858739	54.26670755	41.32502633	57.52271
79.97926135	44.63511761	62.39382106	47.31322467	66.13745032
89.93784108	50.10193997	69.59385025	53.10805637	73.76948127
97.02000557	53.88276668	74.1615196	57.11573268	78.61121078


key: ijkdijk				
sigma_v_eff_mean_kpa	Tau_davis_nonasso	Tau_tanphi_asso	Tau_davis_nonasso_int_princ	Tau_tanphi_asso_int_princ
0	0	0	0	0
21.17239809	11.99807695	17.65103186	12.71796157	18.71009377
30.01273226	16.99179791	24.83089103	18.01130578	26.32074449
40.06092711	22.76667463	33.71626885	24.13267511	35.73924498
49.93614389	28.36647365	41.92590702	30.06846207	44.44146144
60.00820117	33.74892973	48.27534008	35.77386551	51.17186048
69.97901929	38.87368889	53.56198342	41.20611022	56.77570243
80.00205133	44.63756393	62.31275124	47.31581777	66.05151631
90.00051717	50.61830865	72.35635131	53.65540717	76.69773239
100.1504828	55.02454353	73.57014828	58.32601614	77.98435718
110.343251	60.59298546	80.86796355	64.22856459	85.72004136
115.1543627	63.74800845	86.92379204	67.57288896	92.13921956

